iter	Passed	Remaining
0	12894	683413
1	22175	576557
2	33082	562404
3	40232	502912
4	53752	526777
5	65602	524819
6	75979	510147
7	87516	503220
8	98339	491698
9	115546	508406
10	133753	522853
11	152447	533566
12	172313	543448
13	186945	534130
14	199799	519478
15	210831	500724
16	223720	486921
17	237339	474679
18	261174	481110
19	284746	484068
20	311425	489382
21	334274	486217
22	359731	484856
23	385221	481526
24	408550	473919
25	433167	466487
26	457434	457434
27	466774	433433
28	477158	411343
29	487670	390136
30	498326	369726
31	508592	349657
32	519650	330686
33	529318	311363
34	538773	292476
35	551321	275660
36	569797	261798
37	587831	247508
38	607579	233684
39	623622	218267
40	640699	203148
41	656567	187590
42	670051	171408
43	685683	155837
44	701865	140373
45	733701	127600
46	766363	114139
47	800055	100006
48	831849	84882
49	863839	69107
50	897515	52795
51	928375	35706
52	962606	18162
53	995679	0
