iter	Logloss
0	0.6821881288
1	0.6700182962
2	0.660633168
3	0.6494239449
4	0.6381532936
5	0.6280582099
6	0.6184302827
7	0.6102341031
8	0.6017603924
9	0.5935081469
10	0.5857558446
11	0.5772356901
12	0.5701676184
13	0.5633101067
14	0.5574435275
15	0.5513687629
16	0.5449121378
17	0.5384355905
18	0.5342337249
19	0.5291469428
20	0.5245785009
21	0.5198627565
22	0.515372335
23	0.5112100437
24	0.5073147921
25	0.5038956758
26	0.5001490537
27	0.4965837251
28	0.4932268097
29	0.490030144
30	0.4874110563
31	0.484335116
32	0.4813885814
33	0.479417519
34	0.476940318
35	0.4746234647
36	0.4722109764
37	0.4701497677
38	0.467978591
39	0.4660221576
40	0.4638715844
41	0.4621721053
42	0.460475396
43	0.4586006001
44	0.4568412577
45	0.4552231785
46	0.4539923234
47	0.4527499708
48	0.4514983459
49	0.4508453906
50	0.449984171
51	0.4487765585
52	0.4477340074
53	0.4463957082
54	0.4450913581
55	0.4437887975
56	0.4427662866
57	0.4417537107
58	0.4405362257
59	0.4394818704
60	0.4384443281
61	0.4375413748
62	0.4365384202
63	0.4356786351
64	0.4348974832
65	0.4344091917
66	0.4335314651
67	0.4327569942
68	0.4317429945
69	0.4310260312
70	0.4303049874
71	0.4294399932
72	0.4288017425
73	0.4282575177
74	0.4275197205
75	0.4268303904
76	0.4261556425
77	0.4255108125
78	0.424863823
79	0.4241717478
80	0.4235466227
81	0.4229024643
82	0.4221826925
83	0.4217445146
84	0.4212282449
85	0.4206335155
86	0.4200122149
87	0.4195898713
88	0.4190304332
89	0.4186669782
90	0.41835457
91	0.4181162136
92	0.4176770705
93	0.4172459724
94	0.4167565768
95	0.4166539612
96	0.4162647047
97	0.4158743024
98	0.415394129
99	0.4150375472
100	0.414491917
101	0.4140730983
102	0.4136979235
103	0.4132132746
104	0.4128948543
105	0.4125707035
106	0.4122587634
107	0.4118817199
108	0.411751717
109	0.411562947
110	0.4112653969
111	0.4108078301
112	0.4106056367
113	0.4102063104
114	0.4098342272
115	0.4094912004
116	0.4092797246
117	0.4090240246
118	0.4087630875
119	0.4085336263
120	0.4082629472
121	0.4079546832
122	0.4078409267
123	0.4075468921
124	0.4073486742
125	0.4072042148
126	0.406924359
127	0.406693889
128	0.4065063705
129	0.4063469713
130	0.4060278501
131	0.4058760195
132	0.4056605602
133	0.4054217965
134	0.4051172251
135	0.404875551
136	0.4046755154
137	0.4044875169
138	0.4042481595
139	0.4040560418
140	0.4038747137
141	0.4036503198
142	0.4035453894
143	0.4033937211
144	0.4032781294
145	0.4030594912
146	0.4029209952
147	0.4027416344
148	0.4025539513
149	0.4022808559
150	0.4020947084
151	0.4020381638
152	0.4020370064
153	0.4018386569
154	0.4016570192
155	0.4015094905
156	0.4014636393
157	0.4013760419
158	0.4012058617
159	0.4010388919
160	0.4008987259
161	0.4007321832
162	0.4006064385
163	0.4005177582
164	0.4003219581
165	0.4001955356
166	0.4000581264
167	0.3999789245
168	0.399754361
169	0.3995407182
170	0.3993856171
171	0.3992438246
172	0.3991972035
173	0.3991688635
174	0.3989175977
175	0.3988857553
176	0.3987754377
177	0.3986742666
178	0.3986118322
179	0.398498816
180	0.3984343852
181	0.3983281905
182	0.3982718426
183	0.3982578402
184	0.3979499938
185	0.3979498631
186	0.3978401992
187	0.3976594651
188	0.3976296337
189	0.3974598209
190	0.3973306316
191	0.3972937788
192	0.3972272687
193	0.3970754395
194	0.3969592495
195	0.3968450776
196	0.3967072717
197	0.3965594923
198	0.3964859186
199	0.3964549904
200	0.3963233251
201	0.3962563331
202	0.3960467838
203	0.3959340046
204	0.395826149
205	0.3958261462
206	0.3957573335
207	0.3956810023
208	0.3955118887
209	0.3955104044
210	0.3953773446
211	0.3952893195
212	0.3951896371
213	0.3951866598
214	0.3950572593
215	0.3950229388
216	0.394897707
217	0.3947715811
218	0.3946683482
219	0.3945549311
220	0.3944945842
221	0.3943850833
222	0.3943615515
223	0.3943339947
224	0.3942446987
225	0.3941597915
226	0.3940444162
227	0.3939692073
228	0.3936933912
229	0.3936224444
230	0.3935122132
231	0.3934255013
232	0.3932773195
233	0.3931987857
234	0.3931786137
235	0.3930594357
236	0.3930176084
237	0.3928119809
238	0.392711344
239	0.3926799288
240	0.3925900713
241	0.3925293293
242	0.3923680971
243	0.3923363944
244	0.3921979597
245	0.392175811
246	0.3920733943
247	0.3920347772
248	0.3920347753
249	0.3919968738
250	0.3918253915
251	0.391803531
252	0.3917304189
253	0.3915813132
254	0.3914905274
255	0.3914665921
256	0.3914389713
257	0.3914116768
258	0.3913999211
259	0.3913898897
260	0.3911986222
261	0.39119848
262	0.3910779972
263	0.3910507622
264	0.3909990097
265	0.3907917722
266	0.390752345
267	0.3906566944
268	0.3905722138
269	0.3905180595
270	0.3903948306
271	0.390309402
272	0.3902658421
273	0.390235953
274	0.3902359529
275	0.3901856803
276	0.3901179126
277	0.3900775482
278	0.3900723858
279	0.3900225406
280	0.3898885403
281	0.3897830412
282	0.3897569535
283	0.3897167549
284	0.3896057265
285	0.3895223309
286	0.3894673335
287	0.3893654522
288	0.3891812467
289	0.3891771855
290	0.3890812365
291	0.3889157002
292	0.3888199294
293	0.3887537356
294	0.3887122757
295	0.3886548914
296	0.3886364885
297	0.3885197726
298	0.3884385308
299	0.3882928594
300	0.3882856527
301	0.3881221191
302	0.3880518308
303	0.3879995658
304	0.3878887322
305	0.387771409
306	0.3877394247
307	0.3876861603
308	0.3874488254
309	0.3874488116
310	0.3872716173
311	0.3871864679
312	0.3871188176
313	0.3870928972
314	0.3870241743
315	0.3869773442
316	0.386977336
317	0.3869710871
318	0.3869639972
319	0.3866399559
320	0.3865531028
321	0.3865249994
322	0.3864318441
323	0.3863827085
324	0.3862972623
325	0.3862735752
326	0.3862663292
327	0.3862609893
328	0.3862352961
329	0.3861576068
330	0.3860739587
331	0.3860584484
332	0.3859837989
333	0.3859490236
334	0.3858643089
335	0.3858426925
336	0.3858134809
337	0.385698151
338	0.3856233972
339	0.3856142131
340	0.3856096194
341	0.385518851
342	0.3854488587
343	0.3853777088
344	0.3853480393
345	0.3851947396
346	0.3851539301
347	0.3850402166
348	0.3849802745
349	0.384862791
