iter	Passed	Remaining
0	4	1495
1	7	1352
2	10	1161
3	12	1092
4	26	1807
5	33	1919
6	36	1777
7	39	1696
8	41	1585
9	45	1535
10	48	1501
11	51	1455
12	53	1394
13	56	1360
14	59	1321
15	62	1298
16	64	1265
17	66	1230
18	69	1204
19	71	1175
20	73	1154
21	75	1132
22	77	1107
23	79	1086
24	82	1066
25	84	1047
26	86	1031
27	88	1017
28	90	1003
29	92	989
30	95	978
31	97	965
32	99	958
33	101	945
34	103	933
35	105	922
36	108	913
37	110	903
38	112	894
39	114	886
40	116	877
41	118	871
42	121	866
43	124	863
44	126	855
45	128	849
46	130	839
47	132	831
48	134	827
49	135	815
50	137	805
51	139	800
52	141	792
53	143	785
54	145	780
55	147	774
56	149	767
57	151	761
58	153	757
59	155	752
60	158	751
61	160	746
62	162	740
63	164	735
64	166	729
65	168	724
66	171	722
67	173	718
68	175	712
69	177	708
70	179	703
71	181	699
72	183	695
73	185	692
74	187	688
75	190	685
76	192	681
77	194	678
78	196	674
79	198	670
80	200	665
81	202	662
82	206	663
83	208	661
84	211	658
85	216	663
86	226	683
87	228	679
88	230	676
89	232	671
90	234	667
91	236	662
92	238	658
93	241	656
94	243	653
95	244	647
96	246	643
97	248	639
98	250	635
99	252	632
100	255	629
101	257	626
102	259	622
103	261	618
104	263	615
105	265	611
106	267	607
107	269	604
108	271	599
109	273	595
110	274	591
111	277	588
112	279	585
113	281	581
114	283	578
115	285	576
116	288	573
117	290	571
118	292	567
119	294	565
120	296	561
121	298	558
122	301	555
123	303	552
124	305	549
125	307	547
126	309	543
127	312	541
128	315	540
129	318	538
130	320	535
131	323	533
132	325	531
133	328	529
134	330	526
135	333	524
136	335	521
137	337	518
138	339	515
139	342	513
140	344	510
141	346	507
142	348	504
143	350	502
144	353	499
145	356	497
146	358	495
147	360	492
148	362	489
149	364	486
150	367	483
151	368	480
152	370	476
153	372	473
154	374	470
155	376	468
156	379	466
157	381	463
158	383	460
159	385	457
160	387	454
161	389	451
162	392	449
163	394	447
164	396	444
165	398	441
166	400	438
167	401	435
168	404	433
169	407	431
170	409	428
171	411	425
172	412	422
173	414	418
174	416	416
175	417	412
176	419	410
177	422	408
178	424	405
179	426	403
180	428	400
181	430	397
182	432	394
183	433	391
184	435	388
185	436	385
186	438	382
187	440	380
188	443	377
189	445	375
190	447	372
191	448	369
192	450	366
193	452	363
194	454	361
195	456	358
196	458	355
197	460	353
198	462	351
199	465	349
200	467	346
201	469	344
202	471	341
203	474	339
204	476	336
205	477	333
206	479	331
207	481	328
208	483	326
209	485	323
210	487	321
211	489	318
212	491	316
213	492	313
214	494	310
215	497	308
216	499	306
217	501	303
218	503	301
219	505	298
220	508	296
221	510	294
222	512	291
223	514	289
224	518	288
225	521	286
226	523	283
227	525	281
228	527	278
229	530	276
230	532	274
231	534	271
232	537	269
233	539	267
234	541	264
235	543	262
236	545	260
237	548	257
238	550	255
239	552	253
240	554	250
241	556	248
242	558	245
243	560	243
244	563	241
245	564	238
246	567	236
247	568	233
248	569	231
249	572	228
250	575	226
251	577	224
252	579	222
253	581	219
254	584	217
255	586	215
256	588	212
257	590	210
258	592	208
259	594	205
260	596	203
261	597	200
262	599	198
263	602	196
264	604	193
265	606	191
266	608	189
267	611	186
268	614	184
269	616	182
270	618	180
271	620	178
272	622	175
273	624	173
274	625	170
275	628	168
276	630	166
277	633	164
278	634	161
279	636	159
280	648	159
281	651	157
282	653	154
283	655	152
284	657	150
285	659	147
286	661	145
287	664	143
288	666	140
289	668	138
290	670	135
291	672	133
292	674	131
293	676	128
294	678	126
295	681	124
296	683	122
297	685	119
298	687	117
299	690	115
300	692	112
301	694	110
302	696	107
303	698	105
304	700	103
305	702	100
306	704	98
307	707	96
308	709	94
309	710	91
310	712	89
311	714	87
312	717	84
313	719	82
314	721	80
315	723	77
316	724	75
317	725	73
318	727	70
319	729	68
320	731	66
321	733	63
322	736	61
323	738	59
324	740	56
325	742	54
326	744	52
327	747	50
328	748	47
329	750	45
330	753	43
331	754	40
332	756	38
333	759	36
334	761	34
335	763	31
336	765	29
337	767	27
338	770	24
339	772	22
340	774	20
341	776	18
342	779	15
343	781	13
344	784	11
345	786	9
346	788	6
347	790	4
348	792	2
349	794	0
